ticker,year,annual_return_pct,lagged_return,degree,weighted_degree,betweenness,closeness,eigenvector,pagerank,ministry_Agriculture,ministry_Commerce,ministry_Digital Economy,ministry_Energy,ministry_Finance,ministry_Industry,ministry_Interior,ministry_Public Health,ministry_Tourism & Sports,ministry_Transport
CRC,2023,-2.5121552713056605,37.077150288638336,0.01694915254237288,0.631,0.0,0.05546995377503852,1.1524431217943613e-22,0.01354944042467548,False,True,False,False,False,False,False,False,False,False
CRC,2024,4.02979328721651,-2.5121552713056605,0.01694915254237288,0.631,0.0,0.05546995377503852,1.1524431217943613e-22,0.01354944042467548,False,True,False,False,False,False,False,False,False,False
CRC,2025,-42.44175987810189,4.02979328721651,0.01694915254237288,0.631,0.0,0.05546995377503852,1.1524431217943613e-22,0.01354944042467548,False,True,False,False,False,False,False,False,False,False
CRC,2026,24.836309577263727,-42.44175987810189,0.01694915254237288,0.631,0.0,0.05546995377503852,1.1524431217943613e-22,0.01354944042467548,False,True,False,False,False,False,False,False,False,False
DELTA,2017,-11.597393375074171,6.918463598838387,0.01694915254237288,0.017,0.0,0.022598870056497175,2.7123920094749595e-180,0.007087570667165616,False,False,False,False,False,True,False,False,False,False
DELTA,2018,-6.675873814800159,-11.597393375074171,0.01694915254237288,0.017,0.0,0.022598870056497175,2.7123920094749595e-180,0.007087570667165616,False,False,False,False,False,True,False,False,False,False
DELTA,2019,-20.499500020676543,-6.675873814800159,0.01694915254237288,0.017,0.0,0.022598870056497175,2.7123920094749595e-180,0.007087570667165616,False,False,False,False,False,True,False,False,False,False
DELTA,2020,809.8258131301941,-20.499500020676543,0.01694915254237288,0.017,0.0,0.022598870056497175,2.7123920094749595e-180,0.007087570667165616,False,False,False,False,False,True,False,False,False,False
DELTA,2021,-21.33026396502834,809.8258131301941,0.01694915254237288,0.017,0.0,0.022598870056497175,2.7123920094749595e-180,0.007087570667165616,False,False,False,False,False,True,False,False,False,False
DELTA,2022,140.18898505733551,-21.33026396502834,0.01694915254237288,0.017,0.0,0.022598870056497175,2.7123920094749595e-180,0.007087570667165616,False,False,False,False,False,True,False,False,False,False
